Commodity,Amount (in millions),Year
Food and beverage services,151011,2018
Traveler accommodations,229901,2018
Shopping,126687,2018
Air Transportation,270637,2018
Entertainment,121633,2018
In-country transportation,171669,2018
Miscellaneous,127340,2018
Food and beverage services,167739,2019
Traveler accommodations,236794,2019
Shopping,149524,2019
Air Transportation,292887,2019
Entertainment,131708,2019
In-country transportation,147019,2019
Miscellaneous,135829,2019
Food and beverage services,78740,2020
Traveler accommodations,151067,2020
Shopping,54025,2020
Air Transportation,113389,2020
Entertainment,85336,2020
In-country transportation,51538,2020
Miscellaneous,74684,2020
Food and beverage services,171407,2021
Traveler accommodations,196860,2021
Shopping,121778,2021
Air Transportation,177692,2021
Entertainment,126647,2021
In-country transportation,109316,2021
Miscellaneous,95726,2021
Food and beverage services,200188,2022
Traveler accommodations,242851,2022
Shopping,137586,2022
Air Transportation,306761,2022
Entertainment,142558,2022
In-country transportation,201992,2022
Miscellaneous,124775,2022
