Entity,Code,Year,Inbound arrivals of tourists
Albania,ALB,2022,7104700
Andorra,AND,2022,3555100
Angola,AGO,2022,130000
Anguilla,AIA,2022,74100
Antigua and Barbuda,ATG,2022,265100
Argentina,ARG,2022,3890000
Armenia,ARM,2022,1666000
Aruba,ABW,2022,1101000
Austria,AUT,2022,26215000
Azerbaijan,AZE,2022,1508000
Bahamas,BHS,2022,1452400
Bahrain,BHR,2022,3712000
Barbados,BRB,2022,539700
Belarus,BLR,2022,1492000
Belgium,BEL,2022,8220000
Belize,BLZ,2022,372600
Bermuda,BMU,2022,145900
Bhutan,BTN,2022,20900
Bolivia,BOL,2022,724000
Bosnia and Herzegovina,BIH,2022,915000
Brazil,BRA,2022,3630000
British Virgin Islands,VGB,2022,173000
Bulgaria,BGR,2022,5557000
Burkina Faso,BFA,2022,116000
Cambodia,KHM,2022,2276600
Canada,CAN,2022,12824000
Cape Verde,CPV,2022,785000
Cayman Islands,CYM,2022,284300
Chile,CHL,2022,2030000
Colombia,COL,2022,4519000
Cook Islands,COK,2022,113600
Costa Rica,CRI,2022,2349500
Croatia,HRV,2022,15324000
Cuba,CUB,2022,1613400
Curacao,CUW,2022,489600
Denmark,DNK,2022,14190000
Djibouti,DJI,2022,145000
Dominica,DMA,2022,61000
Dominican Republic,DOM,2022,7163400
Egypt,EGY,2022,11625000
El Salvador,SLV,2022,1891000
Estonia,EST,2022,2166000
Eswatini,SWZ,2022,393000
Ethiopia,ETH,2022,897000
Fiji,FJI,2022,636300
Finland,FIN,2022,2127000
French Polynesia,PYF,2022,218800
Gambia,GMB,2022,570000
Georgia,GEO,2022,3653000
Germany,DEU,2022,28463000
Ghana,GHA,2022,915000
Greece,GRC,2022,27836000
Grenada,GRD,2022,149000
Guam,GUM,2022,328000
Guatemala,GTM,2022,1494000
Guyana,GUY,2022,288000
Honduras,HND,2022,844000
Hong Kong,HKG,2022,567800
Hungary,HUN,2022,12649000
Israel,ISR,2022,2675000
Italy,ITA,2022,49811000
Jamaica,JAM,2022,2478400
Jordan,JOR,2022,4276700
Kiribati,KIR,2022,1800
Kyrgyzstan,KGZ,2022,345700
Lebanon,LBN,2022,1466000
Liechtenstein,LIE,2022,100800
Lithuania,LTU,2022,2169000
Luxembourg,LUX,2022,1013000
Macao,MAC,2022,2484000
Malaysia,MYS,2022,10071000
Maldives,MDV,2022,1675000
Malta,MLT,2022,2286600
Martinique,MTQ,2022,556000
Mauritius,MUS,2022,997000
Mexico,MEX,2022,38325600
Moldova,MDA,2022,162000
Monaco,MCO,2022,327000
Mongolia,MNG,2022,286000
Montenegro,MNE,2022,2036000
Morocco,MAR,2022,10869000
Myanmar,MMR,2022,233000
Namibia,NAM,2022,461000
Nepal,NPL,2022,614800
Netherlands,NLD,2022,16063000
New Caledonia,NCL,2022,79000
New Zealand,NZL,2022,1389000
Nicaragua,NIC,2022,817900
Nigeria,NGA,2022,528000
North Macedonia,MKD,2022,537000
Northern Mariana Islands,MNP,2022,96100
Norway,NOR,2022,4979400
Oman,OMN,2022,2059000
Panama,PAN,2022,1488000
Papua New Guinea,PNG,2022,66800
Paraguay,PRY,2022,579400
Peru,PER,2022,2009300
Philippines,PHL,2022,2654000
Poland,POL,2022,15948000
Portugal,PRT,2022,16308000
Puerto Rico,PRI,2022,3273100
Reunion,REU,2022,495000
Saint Kitts and Nevis,KNA,2022,79800
Saint Lucia,LCA,2022,356000
Saint Vincent and the Grenadines,VCT,2022,59000
Samoa,WSM,2022,49400
Saudi Arabia,SAU,2022,16638000
Serbia,SRB,2022,1773000
Seychelles,SYC,2022,332000
Singapore,SGP,2022,5344000
Sint Maarten (Dutch part),SXM,2022,373000
Slovenia,SVN,2022,3936000
South Africa,ZAF,2022,5698000
Spain,ESP,2022,71659000
Sri Lanka,LKA,2022,720000
Sweden,SWE,2022,6629000
Switzerland,CHE,2022,9159500
Tanzania,TZA,2022,1455000
Tonga,TON,2022,18400
Trinidad and Tobago,TTO,2022,226500
Tunisia,TUN,2022,6441000
Turkey,TUR,2022,50453000
Tuvalu,TUV,2022,244
Uganda,UGA,2022,815000
Ukraine,UKR,2022,2173000
United Kingdom,GBR,2022,30741000
United States,USA,2022,50870000
Vanuatu,VUT,2022,30000
Russia,RUS,2022,200100
